#Gene	Transcript	Source
ACBD7	NM_001039844.3	MANE
ACCS	NM_032592.4	MANE
ACCSL	NM_001031854.2	MANE
ACD	NM_001082486.2	MANE
ACE	NM_000789.4	MANE
ACE2	NM_001371415.1	MANE
ACER1	NM_133492.3	MANE
ACER2	NM_001010887.3	MANE
ACER3	NM_018367.7	MANE
ACHE	NM_000665.5	MANE
ACIN1	NM_001386863.1	MANE
ACKR1	NM_002036.4	MANE
ACKR2	NM_001296.5	MANE
ACKR3	NM_020311.3	MANE
ACKR4	NM_016557.4	MANE
ACLY	NM_001096.3	MANE
ACMSD	NM_138326.3	MANE
ACO1	NM_002197.3	MANE
ACO2	NM_001098.3	MANE
ACOD1	NM_001258406.2	MANE
ACOT1	NM_001037161.2	MANE
ACOT11	NM_147161.4	MANE
ACOT12	NM_130767.3	MANE
ACOT13	NM_018473.4	MANE
ACOT2	NM_006821.6	MANE
ACOT4	NM_152331.4	MANE
ACOT6	NM_001365788.1	MANE
ACOT7	NM_007274.4	MANE
ACOT8	NM_005469.4	MANE
ACOT9	NM_001037171.2	MANE
ACOX1	NM_004035.7	MANE
ACOX2	NM_003500.4	MANE
ACOX3	NM_003501.3	MANE
ACOXL	NM_001142807.4	MANE
ACP1	NM_004300.4	MANE
ACP2	NM_001610.4	MANE
ACP3	NM_001099.5	MANE
ACP4	NM_033068.3	MANE
ACP5	NM_001611.5	MANE
ACP6	NM_016361.5	MANE
ACP7	NM_001004318.3	MANE
ACPT	NM_033068.3	HGMD
ACR	NM_001097.3	MANE
ACRBP	NM_032489.3	MANE
ACRV1	NM_001612.6	MANE
ACSBG1	NM_015162.5	MANE
ACSBG2	NM_030924.5	MANE
ACSF2	NM_025149.6	MANE
ACSF3	NM_001243279.3	MANE
ACSL1	NM_001995.5	MANE
ACSL3	NM_004457.5	MANE
ACSL4	NM_001318510.2	MANE
ACSL5	NM_203379.2	MANE
ACSL6	NM_001009185.3	MANE
ACSM1	NM_001318890.3	MANE
ACSM2A	NM_001308172.2	MANE
ACSM2B	NM_001105069.2	MANE
ACSM3	NM_005622.4	MANE
ACSM4	NM_001080454.2	MANE
ACSM5	NM_017888.3	MANE
ACSM6	NM_207321.3	MANE
ACSS1	NM_032501.4	MANE
ACSS2	NM_018677.4	MANE
ACSS3	NM_024560.4	MANE
ACTA1	NM_001100.4	MANE
ACTA2	NM_001613.4	MANE
ACTB	NM_001101.5	MANE
ACTBL2	NM_001017992.4	MANE
ACTC1	NM_005159.5	MANE
ACTG1	NM_001614.5	MANE
ACTG2	NM_001615.4	MANE
ACTL10	NM_001024675.2	MANE
ACTL6A	NM_004301.5	MANE
ACTL6B	NM_016188.5	MANE
ACTL7A	NM_006687.4	MANE
ACTL7B	NM_006686.4	MANE
ACTL8	NM_030812.3	MANE
ACTL9	NM_178525.5	MANE
ACTN1	NM_001130004.2	MANE
ACTN2	NM_001103.4	MANE
ACTN3	NM_001104.4	MANE
ACTN4	NM_004924.6	MANE
ACTR10	NM_018477.3	MANE
ACTR1A	NM_005736.4	MANE
ACTR1B	NM_005735.4	MANE
ACTR2	NM_005722.4	MANE
ACTR3	NM_005721.5	MANE
ACTR3B	NM_020445.6	MANE
ACTR3C	NM_001164458.2	MANE
ACTR5	NM_024855.4	MANE
ACTR6	NM_022496.5	MANE
ACTR8	NM_022899.5	MANE
ACTRT1	NM_138289.4	MANE
ACTRT2	NM_080431.5	MANE
ACTRT3	NM_032487.5	MANE
ACVR1	NM_001111067.4	MANE
ACVR1B	NM_004302.5	MANE
ACVR1C	NM_145259.3	MANE
ACVR2A	NM_001616.5	MANE
ACVR2B	NM_001106.4	MANE
ACVRL1	NM_000020.3	MANE
ACY1	NM_000666.3	MANE
ACY3	NM_080658.2	MANE
ACYP1	NM_001107.5	MANE
ACYP2	NM_001320586.2	MANE
ADA	NM_000022.4	MANE
ADA2	NM_001282225.2	MANE
ADAD1	NM_139243.4	MANE
ADAD2	NM_001145400.2	MANE
ADAL	NM_001324366.2	MANE
ADAM10	NM_001110.4	MANE
ADAM11	NM_002390.6	MANE
ADAM12	NM_001288973.2	MANE
ADAM15	NM_207197.3	MANE
ADAM17	NM_003183.6	MANE
ADAM18	NM_014237.3	MANE
ADAM19	NM_033274.5	MANE
ADAM2	NM_001464.5	MANE
ADAM20	NM_003814.5	MANE
ADAM21	NM_003813.4	MANE
ADAM22	NM_001324418.2	MANE
ADAM23	NM_003812.4	MANE
ADAM28	NM_014265.6	MANE
ADAM29	NM_014269.4	MANE
ADAM30	NM_021794.4	MANE
ADAM32	NM_145004.7	MANE
ADAM33	NM_025220.5	MANE
ADAM7	NM_003817.4	MANE
ADAM8	NM_001109.5	MANE
ADAM9	NM_003816.3	MANE
ADAMDEC1	NM_014479.3	MANE
ADAMTS1	NM_006988.5	MANE
ADAMTS10	NM_030957.4	MANE
ADAMTS12	NM_030955.4	MANE
ADAMTS13	NM_139027.6	MANE
ADAMTS14	NM_080722.4	MANE
ADAMTS15	NM_139055.4	MANE
ADAMTS16	NM_139056.4	MANE
ADAMTS17	NM_139057.4	MANE
ADAMTS18	NM_199355.4	MANE
ADAMTS19	NM_133638.6	MANE
ADAMTS2	NM_014244.5	MANE
ADAMTS20	NM_025003.5	MANE
ADAMTS3	NM_014243.3	MANE
ADAMTS4	NM_005099.6	MANE
ADAMTS5	NM_007038.5	MANE
ADAMTS6	NM_197941.4	MANE
ADAMTS7	NM_014272.5	MANE
ADAMTS8	NM_007037.6	MANE
ADAMTS9	NM_182920.2	MANE
ADAMTSL1	NM_001040272.6	MANE
ADAMTSL2	NM_014694.4	MANE
ADAMTSL3	NM_207517.3	MANE
ADAMTSL4	NM_019032.6	MANE
ADAMTSL5	NM_213604.3	MANE
ADAP1	NM_006869.4	MANE
ADAP2	NM_018404.3	MANE
ADAR	NM_001111.5	MANE
ADARB1	NM_001112.4	MANE
ADARB2	NM_018702.4	MANE
ADAT1	NM_001324445.2	MANE
ADAT2	NM_182503.3	MANE
ADAT3	NM_138422.4	MANE
ADCK1	NM_020421.4	MANE
ADCK2	NM_052853.4	MANE
ADCK5	NM_174922.5	MANE
ADCY1	NM_021116.4	MANE
ADCY10	NM_018417.6	MANE
ADCY2	NM_020546.3	MANE
ADCY3	NM_004036.5	MANE
ADCY4	NM_001198568.2	MANE
ADCY5	NM_183357.3	MANE
ADCY6	NM_015270.5	MANE
ADCY7	NM_001114.5	MANE
ADCY8	NM_001115.3	MANE
ADCY9	NM_001116.4	MANE
ADCYAP1	NM_001099733.2	MANE
ADCYAP1R1	NM_001118.5	MANE
ADD1	NM_001354761.2	MANE
ADD2	NM_001617.4	MANE
ADD3	NM_016824.5	MANE
ADGB	NM_024694.4	MANE
ADGRA1	NM_001083909.3	MANE
ADGRA2	NM_032777.10	MANE
ADGRA3	NM_145290.4	MANE
ADGRB1	NM_001702.3	MANE
ADGRB2	NM_001364857.2	MANE
ADGRB3	NM_001704.3	MANE
ADGRD1	NM_198827.5	MANE
ADGRD2	NM_001395425.1	MANE
ADGRE1	NM_001974.5	MANE
ADGRE2	NM_013447.4	MANE
ADGRE3	NM_032571.5	MANE
ADGRE5	NM_078481.4	MANE
ADGRF1	NM_153840.4	MANE
ADGRF2	NM_153839	HGNC
ADGRF3	NM_001321971.2	MANE
ADGRF4	NM_153838.5	MANE
ADGRF5	NM_001098518.2	MANE
ADGRG1	NM_201525.4	MANE
ADGRG2	NM_001079858.3	MANE
ADGRG3	NM_170776.5	MANE
ADGRG4	NM_153834.4	MANE
ADGRG5	NM_001304376.3	MANE
ADGRG6	NM_198569.3	MANE
ADGRG7	NM_032787.3	MANE
ADGRL1	NM_014921.5	MANE
ADGRL2	NM_001366006.2	MANE
ADGRL3	NM_001387552.1	MANE
ADGRL4	NM_022159.4	MANE
ADGRV1	NM_032119.4	MANE
ADH1A	NM_000667.4	MANE
ADH1B	NM_000668.6	MANE
ADH1C	NM_000669.5	MANE
ADH4	NM_000670.5	MANE
ADH5	NM_000671.4	MANE
ADH6	NM_001102470.2	MANE
ADH7	NM_000673.7	MANE
ADHFE1	NM_144650.3	MANE
ADI1	NM_018269.4	MANE
ADIG	NM_001393816.1	MANE
ADIPOQ	NM_004797.4	MANE
ADIPOR1	NM_015999.6	MANE
ADIPOR2	NM_024551.3	MANE
ADIRF	NM_006829.3	MANE
ADK	NM_006721.4	MANE
ADM	NM_001124.3	MANE
ADM2	NM_001253845.2	MANE
ADM5	NM_001101340.2	MANE
ADNP	NM_001282531.3	MANE
ADNP2	NM_014913.4	MANE
ADO	NM_032804.6	MANE
ADORA1	NM_000674.3	MANE
ADORA2A	NM_000675.6	MANE
ADORA2B	NM_000676.4	MANE
ADORA3	NM_000677.4	MANE
ADPGK	NM_001365225.1	MANE
ADPRH	NM_001125.4	MANE
ADPRHL1	NM_001394807.1	MANE
ADPRM	NM_020233.5	MANE
ADPRS	NM_017825.3	MANE
ADRA1A	NM_000680.4	MANE
ADRA1B	NM_000679.4	MANE
ADRA1D	NM_000678.4	MANE
ADRA2A	NM_000681.4	MANE
ADRA2B	NM_000682.7	MANE
ADRA2C	NM_000683.4	MANE
ADRB1	NM_000684.3	MANE
ADRB2	NM_000024.6	MANE
ADRB3	NM_000025.3	MANE
ADRM1	NM_007002.4	MANE
ADSL	NM_000026.4	MANE
ADSS	NM_001126.5	HGMD
ADSS1	NM_152328.5	MANE
ADSS2	NM_001126.5	MANE
ADSSL1	NM_199165.2	HGMD
ADTRP	NM_032744.4	MANE
AEBP1	NM_001129.5	MANE
AEBP2	NM_153207.5	MANE
AEN	NM_022767.4	MANE
AFAP1	NM_001134647.2	MANE
AFAP1L1	NM_152406.4	MANE
AFAP1L2	NM_001001936.3	MANE
AFDN	NM_001386888.1	MANE
AFF1	NM_001166693.3	MANE
AFF2	NM_002025.4	MANE
AFF3	NM_001386135.1	MANE
AFF4	NM_014423.4	MANE
AFG1L	NM_145315.5	MANE
AFG3L2	NM_006796.3	MANE
AFM	NM_001133.2	MANE
AFMID	NM_001010982.5	MANE
AFP	NM_001134.3	MANE
AFTPH	NM_203437.4	MANE
AGA	NM_000027.4	MANE
AGAP1	NM_001037131.3	MANE
AGAP2	NM_001122772.3	MANE
AGAP3	NM_031946.7	MANE
AGAP4	NM_001276343.3	MANE
AGAP5	NM_001144000.4	MANE
AGAP6	NM_001077665.3	MANE
AGAP9	NM_001190810.1	MANE
AGBL1	NM_001386094.1	MANE
AGBL2	NM_024783.4	MANE
AGBL3	NM_178563.4	MANE
AGBL4	NM_032785.4	MANE
AGBL5	NM_021831.6	MANE
AGER	NM_001136.5	MANE
AGFG1	NM_004504.5	MANE
AGFG2	NM_006076.5	MANE
AGGF1	NM_018046.5	MANE
AGK	NM_018238.4	MANE
AGL	NM_000642.3	MANE
AGMAT	NM_024758.5	MANE
AGMO	NM_001004320.2	MANE
AGO1	NM_012199.5	MANE
AGO2	NM_012154.5	MANE
AGO3	NM_024852.4	MANE
AGO4	NM_017629.4	MANE
AGPAT1	NM_006411.4	MANE
AGPAT2	NM_006412.4	MANE
AGPAT3	NM_020132.5	MANE
AGPAT4	NM_020133.3	MANE
AGPAT5	NM_018361.5	MANE
AGPS	NM_003659.4	MANE
AGR2	NM_006408.4	MANE
AGR3	NM_176813.5	MANE
AGRN	NM_198576.4	MANE
AGRP	NM_001138.2	MANE
AGT	NM_001384479.1	MANE
AGTPBP1	NM_001330701.2	MANE
AGTR1	NM_000685.5	MANE
AGTR2	NM_000686.5	MANE
AGTRAP	NM_020350.5	MANE
AGXT	NM_000030.3	MANE
AGXT2	NM_031900.4	MANE
AHCTF1	NM_001323342.2	MANE
AHCY	NM_000687.4	MANE
AHCYL1	NM_006621.7	MANE
AHCYL2	NM_015328.4	MANE
AHDC1	NM_001371928.1	MANE
AHI1	NM_001134831.2	MANE
AHNAK	NM_001620.3	MANE
AHNAK2	NM_138420.4	MANE
AHR	NM_001621.5	MANE
AHRR	NM_001377236.1	MANE
AHSA1	NM_012111.3	MANE
AHSG	NM_001622.4	MANE
AHSP	NM_016633.4	MANE
AICDA	NM_020661.4	MANE
AIDA	NM_022831.4	MANE
AIF1	NM_001623.5	MANE
AIF1L	NM_031426.4	MANE
AIFM1	NM_004208.4	MANE
AIFM2	NM_032797.6	MANE
AIFM3	NM_001386814.1	MANE
AIG1	NM_016108.4	MANE
AIM2	NM_004833.3	MANE
AIMP1	NM_001142416.2	MANE
AIMP2	NM_006303.4	MANE
AIP	NM_003977.4	MANE
AIPL1	NM_014336.5	MANE
AIRE	NM_000383.4	MANE
AJAP1	NM_018836.4	MANE
AJM1	NM_001080482.5	MANE
AJUBA	NM_032876.6	MANE
AK1	NM_000476.3	MANE
AK2	NM_001625.4	MANE
AK3	NM_016282.4	MANE
AK4	NM_013410.4	MANE
AK5	NM_174858.3	MANE
AK6	NM_016283.5	MANE
AK7	NM_152327.5	MANE
AK8	NM_152572.3	MANE
AK9	NM_001145128.3	MANE
AKAIN1	NM_001145194.2	MANE
AKAP1	NM_003488.4	MANE
AKAP10	NM_007202.4	MANE
AKAP11	NM_016248.4	MANE
AKAP12	NM_005100.4	MANE
AKAP13	NM_007200.5	MANE
AKAP14	NM_178813.6	MANE
AKAP17A	NM_005088.3	MANE
AKAP2	NM_001004065.4	HGMD
AKAP3	NM_001278309.2	MANE
AKAP4	NM_003886.3	MANE
AKAP5	NM_004857.3	MANE
AKAP6	NM_004274.5	MANE
AKAP7	NM_016377.4	MANE
AKAP8	NM_005858.4	MANE
AKAP8L	NM_014371.4	MANE
AKAP9	NM_005751.5	MANE
AKIP1	NM_020642.4	MANE
AKIRIN1	NM_024595.3	MANE
AKIRIN2	NM_018064.4	MANE
AKNA	NM_001317950.2	MANE
AKNAD1	NM_152763.5	MANE
AKR1A1	NM_153326.3	MANE
AKR1B1	NM_001628.4	MANE
AKR1B10	NM_020299.5	MANE
AKR1B15	NM_001080538.3	MANE
AKR1C1	NM_001353.6	MANE
AKR1C2	NM_001393392.1	MANE
AKR1C3	NM_003739.6	MANE
AKR1C4	NM_001818.5	MANE
AKR1C8	NM_001395972.1	MANE
AKR1D1	NM_005989.4	MANE
AKR1E2	NM_001040177.3	MANE
AKR7A2	NM_003689.4	MANE
AKR7A3	NM_012067.3	MANE
AKR7L	NM_201252	HGNC
AKT1	NM_001382430.1	MANE
AKT1S1	NM_001098633.4	MANE
AKT2	NM_001626.6	MANE
AKT3	NM_005465.7	MANE
AKTIP	NM_022476.4	MANE
ALAD	NM_000031.6	MANE
ALAS1	NM_000688.6	MANE
ALAS2	NM_000032.5	MANE
ALB	NM_000477.7	MANE
ALCAM	NM_001627.4	MANE
ALDH16A1	NM_153329.4	MANE
ALDH18A1	NM_002860.4	MANE
ALDH1A1	NM_000689.5	MANE
ALDH1A2	NM_003888.4	MANE
ALDH1A3	NM_000693.4	MANE
ALDH1B1	NM_000692.5	MANE
ALDH1L1	NM_012190.4	MANE
ALDH1L2	NM_001034173.4	MANE
ALDH2	NM_000690.4	MANE
ALDH3A1	NM_000691.5	MANE
ALDH3A2	NM_000382.3	MANE
ALDH3B1	NM_000694.4	MANE
ALDH3B2	NM_001393402.2	MANE
ALDH4A1	NM_003748.4	MANE
ALDH5A1	NM_001080.3	MANE
ALDH6A1	NM_005589.4	MANE
ALDH7A1	NM_001182.5	MANE
ALDH8A1	NM_022568.4	MANE
ALDH9A1	NM_000696.4	MANE
ALDOA	NM_001243177.4	MANE
ALDOB	NM_000035.4	MANE
ALDOC	NM_005165.3	MANE
ALG1	NM_019109.5	MANE
ALG10	NM_032834.4	MANE
ALG10B	NM_001013620.4	MANE
ALG11	NM_001004127.3	MANE
ALG12	NM_024105.4	MANE
ALG13	NM_001099922.3	MANE
ALG14	NM_144988.4	MANE
ALG1L	NM_001015050	HGNC
ALG1L2	NM_001136152.1	MANE
ALG2	NM_033087.4	MANE
ALG3	NM_005787.6	MANE
ALG5	NM_013338.5	MANE
ALG6	NM_013339.4	MANE
ALG8	NM_024079.5	MANE
ALG9	NM_024740.2	MANE
ALK	NM_004304.5	MANE
ALKAL1	NM_207413.4	MANE
ALKAL2	NM_001002919.3	MANE
ALKBH1	NM_006020.3	MANE
ALKBH2	NM_001145374.2	MANE
ALKBH3	NM_139178.4	MANE
ALKBH4	NM_017621.4	MANE
ALKBH5	NM_017758.4	MANE
ALKBH6	NM_032878.5	MANE
ALKBH7	NM_032306.4	MANE
ALKBH8	NM_138775.3	MANE
ALLC	NM_018436.4	MANE
ALMS1	NM_001378454.1	MANE
ALOX12	NM_000697.3	MANE
ALOX12B	NM_001139.3	MANE
ALOX15	NM_001140.5	MANE
ALOX15B	NM_001141.3	MANE
ALOX5	NM_000698.5	MANE
ALOX5AP	NM_001629.4	MANE
ALOXE3	NM_021628.3	MANE
ALPG	NM_031313.3	MANE
ALPI	NM_001631.5	MANE
ALPK1	NM_025144.4	MANE
ALPK2	NM_052947.4	MANE
ALPK3	NM_020778.5	MANE
ALPL	NM_000478.6	MANE
ALPP	NM_001632.5	MANE
ALS2	NM_020919.4	MANE
ALS2CL	NM_147129.5	MANE
ALX1	NM_006982.3	MANE
ALX3	NM_006492.3	MANE
ALX4	NM_021926.4	MANE
ALYREF	NM_005782.4	MANE
AMACR	NM_014324.6	MANE
AMBN	NM_016519.6	MANE
AMBP	NM_001633.4	MANE
AMBRA1	NM_001387011.1	MANE
AMD1	NM_001634.6	MANE
AMDHD1	NM_152435.3	MANE
AMDHD2	NM_001330449.2	MANE
AMELX	NM_001142.2	MANE
AMELY	NM_001143.2	MANE
AMER1	NM_152424.4	MANE
AMER2	NM_152704.4	MANE
AMER3	NM_152698.3	MANE
AMFR	NM_001144.6	MANE
AMH	NM_000479.5	MANE
AMHR2	NM_020547.3	MANE
AMIGO1	NM_020703.4	MANE
AMIGO2	NM_001370299.1	MANE
AMIGO3	NM_198722.3	MANE
AMMECR1	NM_015365.3	MANE
AMMECR1L	NM_001199140.2	MANE
AMN	NM_030943.4	MANE
AMN1	NM_001113402.2	MANE
AMOT	NM_001113490.2	MANE
AMOTL1	NM_130847.3	MANE
AMOTL2	NM_016201.4	MANE
AMPD1	NM_000036.3	MANE
AMPD2	NM_001368809.2	MANE
AMPD3	NM_001025389.2	MANE
AMPH	NM_001635.4	MANE
AMT	NM_000481.4	MANE
AMTN	NM_212557.4	MANE
AMY1A	NM_004038.4	MANE
AMY1B	NM_001008218.2	MANE
AMY1C	NM_001008219.3	MANE
AMY2A	NM_000699.4	MANE
AMY2B	NM_001387437.1	MANE
AMZ1	NM_001384743.1	MANE
AMZ2	NM_016627.5	MANE
ANAPC1	NM_022662.4	MANE
ANAPC10	NM_001256706.2	MANE
ANAPC11	NM_001002248.3	MANE
ANAPC13	NM_015391.4	MANE
ANAPC15	NM_014042.3	MANE
ANAPC16	NM_173473.4	MANE
ANAPC2	NM_013366.4	MANE
ANAPC4	NM_013367.3	MANE
ANAPC5	NM_016237.5	MANE
ANAPC7	NM_016238.3	MANE
ANG	NM_001097577.3	MANE
ANGEL1	NM_015305.4	MANE
ANGEL2	NM_144567.5	MANE
ANGPT1	NM_001146.5	MANE
ANGPT2	NM_001118887.2	MANE
ANGPT4	NM_015985.4	MANE
ANGPTL1	NM_004673.4	MANE
ANGPTL2	NM_012098.3	MANE
ANGPTL3	NM_014495.4	MANE
ANGPTL4	NM_139314.3	MANE
ANGPTL5	NM_178127.5	MANE
ANGPTL6	NM_031917.3	MANE
ANGPTL7	NM_021146.4	MANE
ANGPTL8	NM_018687.7	MANE
ANHX	NM_001372060.1	MANE
ANK1	NM_000037.4	MANE
ANK2	NM_001148.6	MANE
ANK3	NM_020987.5	MANE
ANKAR	NM_001378068.1	MANE
ANKDD1A	NM_182703.6	MANE
ANKDD1B	NM_001276713.2	MANE
ANKEF1	NM_022096.6	MANE
ANKFN1	NM_001370326.1	MANE
ANKFY1	NM_001330063.2	MANE
ANKH	NM_054027.6	MANE
ANKHD1	NM_017747.3	MANE
ANKIB1	NM_019004.2	MANE
ANKK1	NM_178510.2	MANE
ANKLE1	NM_152363.6	MANE
ANKLE2	NM_015114.3	MANE
ANKMY1	NM_001282771.3	MANE
ANKMY2	NM_020319.3	MANE
ANKRA2	NM_023039.5	MANE
ANKRD1	NM_014391.3	MANE
ANKRD10	NM_017664.4	MANE
ANKRD11	NM_013275.6	MANE
ANKRD12	NM_015208.5	MANE
ANKRD13A	NM_033121.2	MANE
ANKRD13B	NM_152345.5	MANE
ANKRD13C	NM_030816.5	MANE
ANKRD13D	NM_207354.3	MANE
ANKRD16	NM_019046.3	MANE
ANKRD17	NM_032217.5	MANE
ANKRD18A	NM_147195.4	MANE
ANKRD18B	NM_001393611.1	MANE
ANKRD2	NM_001346793.2	MANE
ANKRD20A1	NM_032250.5	MANE
ANKRD22	NM_144590.3	MANE
ANKRD23	NM_144994.8	MANE
ANKRD24	NM_001393985.1	MANE
ANKRD26	NM_014915.3	MANE
ANKRD27	NM_032139.3	MANE
ANKRD28	NM_001349278.2	MANE
ANKRD29	NM_173505.4	MANE
ANKRD30A	NM_052997.3	MANE
ANKRD30B	NM_001367607.2	MANE
ANKRD30BL	NM_001358416.1	MANE
ANKRD31	NM_001372053.1	MANE
ANKRD33	NM_182608.4	MANE
ANKRD33B	NM_001164440.2	MANE
ANKRD34A	NM_001039888.4	MANE
ANKRD34B	NM_001004441.3	MANE
ANKRD34C	NM_001146341.2	MANE
ANKRD35	NM_144698.5	MANE
ANKRD36	NM_001354587.1	MANE
ANKRD36B	NM_001393939.1	MANE
ANKRD36C	NM_001393982.1	MANE
ANKRD37	NM_181726.4	MANE
ANKRD39	NM_016466.6	MANE
ANKRD40	NM_052855.4	MANE
ANKRD40CL	NM_001358683.3	MANE
ANKRD42	NM_001300975.2	MANE
ANKRD44	NM_001195144.2	MANE
ANKRD45	NM_198493.3	MANE
ANKRD46	NM_001270377.2	MANE
ANKRD49	NM_017704.3	MANE
ANKRD50	NM_020337.3	MANE
ANKRD52	NM_173595.4	MANE
ANKRD53	NM_001115116.2	MANE
ANKRD54	NM_138797.4	MANE
ANKRD55	NM_024669.3	MANE
ANKRD6	NM_001242809.2	MANE
ANKRD60	NM_001304369.2	MANE
ANKRD61	NM_001271700.2	MANE
ANKRD62	NM_001277333.2	MANE
ANKRD63	NM_001190479.3	MANE
ANKRD65	NM_001145210.3	MANE
ANKRD66	NM_001162435.3	MANE
ANKRD7	NM_019644.4	MANE
ANKRD9	NM_152326.4	MANE
ANKS1A	NM_015245.3	MANE
ANKS1B	NM_001352186.2	MANE
ANKS3	NM_133450.4	MANE
ANKS4B	NM_145865.3	MANE
ANKS6	NM_173551.5	MANE
ANKUB1	NM_001144960.3	MANE
ANKZF1	NM_018089.3	MANE
ANLN	NM_018685.5	MANE
